Timestamp,Today's date,Type of Event (select all that apply),"Where is the issue? Provide street, municipality, and state (don't include your personal information)",What is the issue?,How urgent is the situation?,How long has this been an issue?,How would you resolve this issue?,Do you have evidence? Do you have a photo?,Add link to more information,Title of Report,Do you know about when this problem begun?
5/1/2018 14:37:35,,"Mining, Gold Mining","Santo Domingo, San Luis PotosA","San Luis PotosA is one of the main states in MA(c)xico in which gold is mined, and this brings environmental consequences like mineral waste, deforestation, community abuse, children abuse, etc. ",10,Longer than one year,"Avoiding gold mining is something that is not going to happen, but a way to help reduce the impact of this would be stop buying and investing in gold. There are many ways in which this could benefit the environment if each one of us knows the consequence that mining has. ",,http://pulsoslp.com.mx/opinion/el-costo-ecologico-del-oro/,El costo ecolA3gico del oro,
5/1/2018 14:37:35,,"Mining, Gold Mining","Villa de Ramos, San Luis PotosA","San Luis PotosA is one of the main states in MA(c)xico in which gold is mined, and this brings environmental consequences like mineral waste, deforestation, community abuse, children abuse, etc. ",10,Longer than one year,"Avoiding gold mining is something that is not going to happen, but a way to help reduce the impact of this would be stop buying and investing in gold. There are many ways in which this could benefit the environment if each one of us knows the consequence that mining has. ",,http://pulsoslp.com.mx/opinion/el-costo-ecologico-del-oro/,El costo ecolA3gico del oro,
5/1/2018 14:37:35,,"Mining, Gold Mining","Vanegas, San Luis PotosA","San Luis PotosA is one of the main states in MA(c)xico in which gold is mined, and this brings environmental consequences like mineral waste, deforestation, community abuse, children abuse, etc. ",10,Longer than one year,"Avoiding gold mining is something that is not going to happen, but a way to help reduce the impact of this would be stop buying and investing in gold. There are many ways in which this could benefit the environment if each one of us knows the consequence that mining has. ",,http://pulsoslp.com.mx/opinion/el-costo-ecologico-del-oro/,El costo ecolA3gico del oro,
5/1/2018 14:37:35,,"Mining, Gold Mining","22Adeg11'34. 100Adeg49'04., I. Allende 9""N, Col Sta Julia, ZacatlA!n, Pue., Mexico","San Luis PotosA is one of the main states in MA(c)xico in which gold is mined, and this brings environmental consequences like mineral waste, deforestation, community abuse, children abuse, etc. ",10,Longer than one year,"Avoiding gold mining is something that is not going to happen, but a way to help reduce the impact of this would be stop buying and investing in gold. There are many ways in which this could benefit the environment if each one of us knows the consequence that mining has. ",,http://pulsoslp.com.mx/opinion/el-costo-ecologico-del-oro/,El costo ecolA3gico del oro,
5/1/2018 14:37:35,,"Mining, Gold Mining","Cerro de San Pedro, San Luis PotosA",Cerro de San Pedro is a municipality in SLP. The communities in here are being affected by the waste acumulation that mining is creating. The canadian company is having a huge negative impact and no one is taking responsibilty.,10,Longer than one year,"Avoiding gold mining is something that is not going to happen, but a way to help reduce the impact of this would be stop buying and investing in gold. There are many ways in which this could benefit the environment if each one of us knows the consequence that mining has. ",,http://pulsoslp.com.mx/opinion/el-costo-ecologico-del-oro/,El costo ecolA3gico del oro,
4/17/2018 17:51:58,,Fracking,"Rio Nautla, Puebla. ","Due to fracking, several rivers are being polluted. Which are affecting a lot of communities and even also ending in the gulf of Mexico. ",8,Longer than one year,Encourage a better waste management. Report this problem to the organization  required to regulate the waste management to the rivers.,,https://regeneracion.mx/onu-concluye-fracking-contamina-fuentes-de-agua-en-puebla/,ONU concluye: fracking contamina fuentes de agua en Puebla,9/17/2017
4/17/2018 17:51:58,,Fracking,"Rio Tecolutla, Puebla. ","Due to fracking, several rivers are being polluted. Which are affecting a lot of communities and even also ending in the gulf of Mexico. ",8,Longer than one year,Encourage a better waste management. Report this problem to the organization  required to regulate the waste management to the rivers.,,https://regeneracion.mx/onu-concluye-fracking-contamina-fuentes-de-agua-en-puebla/,ONU concluye: fracking contamina fuentes de agua en Puebla,9/17/2017
4/17/2018 17:51:58,,Fracking,"Rio Tuxpan, Puebla. ","Due to fracking, several rivers are being polluted. Which are affecting a lot of communities and even also ending in the gulf of Mexico. ",8,Longer than one year,Encourage a better waste management. Report this problem to the organization  required to regulate the waste management to the rivers.,,https://regeneracion.mx/onu-concluye-fracking-contamina-fuentes-de-agua-en-puebla/,ONU concluye: fracking contamina fuentes de agua en Puebla,9/17/2017
4/17/2018 16:48:19,,Water pollution,"San Agustin Oxtotitlan, Guerrero","The Department of Health of the state of Guerrero sent 29 doctors and nurses to investigate the potential effects of the pollution of the Balsas river. They report no adverse health effects from the consumption or contact with the water from the river that suddenly turned green on March 13, 2018. Another government agency chlorinated 132,000 liters of water in community tanks and distributed other cleaning materials. ",7,It just emerged,Government agencies should release results of their investigations.,,https://www.unotv.com/noticias/estados/guerrero/detalle/inspeccionan-rio-balsas-por-reporte-de-contaminacion-973911/,Inspeccionan rAo Balsas por reporte de contaminaciA3n,3/13/2018
4/17/2018 16:48:20,,Water pollution,"Tlamamacan, Guerrero","The Department of Health of the state of Guerrero sent 29 doctors and nurses to investigate the potential effects of the pollution of the Balsas river. They report no adverse health effects from the consumption or contact with the water from the river that suddenly turned green on March 13, 2018. Another government agency chlorinated 132,000 liters of water in community tanks and distributed other cleaning materials. ",7,It just emerged,Government agencies should release results of their investigations.,,https://www.unotv.com/noticias/estados/guerrero/detalle/inspeccionan-rio-balsas-por-reporte-de-contaminacion-973911/,Inspeccionan rAo Balsas por reporte de contaminaciA3n,3/13/2018
4/17/2018 16:48:21,,Water pollution,"Zoltotitlan, Guerrero","The Department of Health of the state of Guerrero sent 29 doctors and nurses to investigate the potential effects of the pollution of the Balsas river. They report no adverse health effects from the consumption or contact with the water from the river that suddenly turned green on March 13, 2018. Another government agency chlorinated 132,000 liters of water in community tanks and distributed other cleaning materials. ",7,It just emerged,Government agencies should release results of their investigations.,,https://www.unotv.com/noticias/estados/guerrero/detalle/inspeccionan-rio-balsas-por-reporte-de-contaminacion-973911/,Inspeccionan rAo Balsas por reporte de contaminaciA3n,3/13/2018
4/17/2018 16:48:22,,Water pollution,"Analco, Guerrero","The Department of Health of the state of Guerrero sent 29 doctors and nurses to investigate the potential effects of the pollution of the Balsas river. They report no adverse health effects from the consumption or contact with the water from the river that suddenly turned green on March 13, 2018. Another government agency chlorinated 132,000 liters of water in community tanks and distributed other cleaning materials. ",7,It just emerged,Government agencies should release results of their investigations.,,https://www.unotv.com/noticias/estados/guerrero/detalle/inspeccionan-rio-balsas-por-reporte-de-contaminacion-973911/,Inspeccionan rAo Balsas por reporte de contaminaciA3n,3/13/2018
4/17/2018 16:48:23,,Water pollution,"San Miguel Tecuiziapan, Guerrero","The Department of Health of the state of Guerrero sent 29 doctors and nurses to investigate the potential effects of the pollution of the Balsas river. They report no adverse health effects from the consumption or contact with the water from the river that suddenly turned green on March 13, 2018. Another government agency chlorinated 132,000 liters of water in community tanks and distributed other cleaning materials. ",7,It just emerged,Government agencies should release results of their investigations.,,https://www.unotv.com/noticias/estados/guerrero/detalle/inspeccionan-rio-balsas-por-reporte-de-contaminacion-973911/,Inspeccionan rAo Balsas por reporte de contaminaciA3n,3/13/2018
4/17/2018 16:48:24,,Water pollution,"La colonia Valerio Trujano, Guerrero","The Department of Health of the state of Guerrero sent 29 doctors and nurses to investigate the potential effects of the pollution of the Balsas river. They report no adverse health effects from the consumption or contact with the water from the river that suddenly turned green on March 13, 2018. Another government agency chlorinated 132,000 liters of water in community tanks and distributed other cleaning materials. ",7,It just emerged,Government agencies should release results of their investigations.,,https://www.unotv.com/noticias/estados/guerrero/detalle/inspeccionan-rio-balsas-por-reporte-de-contaminacion-973911/,Inspeccionan rAo Balsas por reporte de contaminaciA3n,3/13/2018
4/17/2018 16:48:25,,Water pollution,"Tuliman, Guerrero","The Department of Health of the state of Guerrero sent 29 doctors and nurses to investigate the potential effects of the pollution of the Balsas river. They report no adverse health effects from the consumption or contact with the water from the river that suddenly turned green on March 13, 2018. Another government agency chlorinated 132,000 liters of water in community tanks and distributed other cleaning materials. ",7,It just emerged,Government agencies should release results of their investigations.,,https://www.unotv.com/noticias/estados/guerrero/detalle/inspeccionan-rio-balsas-por-reporte-de-contaminacion-973911/,Inspeccionan rAo Balsas por reporte de contaminaciA3n,3/13/2018
4/17/2018 16:48:26,,Water pollution,"San Francisisco, Guerrero","The Department of Health of the state of Guerrero sent 29 doctors and nurses to investigate the potential effects of the pollution of the Balsas river. They report no adverse health effects from the consumption or contact with the water from the river that suddenly turned green on March 13, 2018. Another government agency chlorinated 132,000 liters of water in community tanks and distributed other cleaning materials. ",7,It just emerged,Government agencies should release results of their investigations.,,https://www.unotv.com/noticias/estados/guerrero/detalle/inspeccionan-rio-balsas-por-reporte-de-contaminacion-973911/,Inspeccionan rAo Balsas por reporte de contaminaciA3n,3/13/2018
4/17/2018 16:48:27,,Water pollution,"Ozomatlan, Guerrero","The Department of Health of the state of Guerrero sent 29 doctors and nurses to investigate the potential effects of the pollution of the Balsas river. They report no adverse health effects from the consumption or contact with the water from the river that suddenly turned green on March 13, 2018. Another government agency chlorinated 132,000 liters of water in community tanks and distributed other cleaning materials. ",7,It just emerged,Government agencies should release results of their investigations.,,https://www.unotv.com/noticias/estados/guerrero/detalle/inspeccionan-rio-balsas-por-reporte-de-contaminacion-973911/,Inspeccionan rAo Balsas por reporte de contaminaciA3n,3/13/2018
4/17/2018 16:48:28,,Water pollution,"Zacango, Guerrero","The Department of Health of the state of Guerrero sent 29 doctors and nurses to investigate the potential effects of the pollution of the Balsas river. They report no adverse health effects from the consumption or contact with the water from the river that suddenly turned green on March 13, 2018. Another government agency chlorinated 132,000 liters of water in community tanks and distributed other cleaning materials. ",7,It just emerged,Government agencies should release results of their investigations.,,https://www.unotv.com/noticias/estados/guerrero/detalle/inspeccionan-rio-balsas-por-reporte-de-contaminacion-973911/,Inspeccionan rAo Balsas por reporte de contaminaciA3n,3/13/2018
4/17/2018 16:48:29,,Water pollution,Tlalcozotitlan Guerrero,"The Department of Health of the state of Guerrero sent 29 doctors and nurses to investigate the potential effects of the pollution of the Balsas river. They report no adverse health effects from the consumption or contact with the water from the river that suddenly turned green on March 13, 2018. Another government agency chlorinated 132,000 liters of water in community tanks and distributed other cleaning materials. ",7,It just emerged,Government agencies should release results of their investigations.,,https://www.unotv.com/noticias/estados/guerrero/detalle/inspeccionan-rio-balsas-por-reporte-de-contaminacion-973911/,Inspeccionan rAo Balsas por reporte de contaminaciA3n,3/13/2018
4/17/2018 16:48:30,,Water pollution,"Mexquitlan, Guerrero","The Department of Health of the state of Guerrero sent 29 doctors and nurses to investigate the potential effects of the pollution of the Balsas river. They report no adverse health effects from the consumption or contact with the water from the river that suddenly turned green on March 13, 2018. Another government agency chlorinated 132,000 liters of water in community tanks and distributed other cleaning materials. ",7,It just emerged,Government agencies should release results of their investigations.,,https://www.unotv.com/noticias/estados/guerrero/detalle/inspeccionan-rio-balsas-por-reporte-de-contaminacion-973911/,Inspeccionan rAo Balsas por reporte de contaminaciA3n,3/13/2018
4/24/2018 23:45:45,,Water pollution,"AhuacatlA!n, Puebla",Canadian companies are installing power generators close to the community and are not respecting the rights of the people. They are polluting rivers which affect drinking water of several communities. The government is ignoring the community and they continue to approve the construction of the power plants without regulations.,10,Longer than one year,I would contact NGOs to create more noise on this problem. The government has the responsibility to regulate the construction and emission of chemical substances. ,,https://regeneracion.mx/hidroelectrica-y-minera-canadiense-violan-derecho-humano-al-agua-en-la-sierra-norte/,HidroelA(c)ctrica y minera violan derecho humano al agua en la Sierra Norte,1/1/2014
4/24/2018 23:45:45,,Water pollution,"Tlapacoya, Puebla",Canadian companies are installing power generators close to the community and are not respecting the rights of the people. They are polluting rivers which affect drinking water of several communities. The government is ignoring the community and they continue to approve the construction of the power plants without regulations.,10,Longer than one year,I would contact NGOs to create more noise on this problem. The government has the responsibility to regulate the construction and emission of chemical substances. ,,https://regeneracion.mx/hidroelectrica-y-minera-canadiense-violan-derecho-humano-al-agua-en-la-sierra-norte/,HidroelA(c)ctrica y minera violan derecho humano al agua en la Sierra Norte,1/1/2014
4/25/2018 0:16:03,,Water pollution,"Presa Paso de Tablas, Queretaro",Some important bodies of water in Queretaro are polluted. Which is dangeroues because a lot of water from these bodies of water is used in Qro. ,8,It just emerged,Check were the pollution is coming from and then look for solutions,,http://amqueretaro.com/queretaro/2018/01/05/alertan-contaminacion-fuentes-agua,Alertan por contaminaciA3n en fuentes de agua,1/5/2018
4/25/2018 11:21:40,,Water pollution,"Felipe Carrillo Puerto, Quintana Roo","Pollution of drinking water is affecting several municipalities in Quintana Roo. Reportedly, fertility in men is in danger due to pesticides found in the water. ",10,Longer than one year,Find where the pollution is coming from and invest in cleaning the water. This people have the right to access clean water. ,,https://laverdadnoticias.com/La-fertilidad-del-hombre-en-la-Peninsula-de-Yucatan-en-riesgo-l201712200001.html,La fertilidad del hombre en la PenAnsula de YucatA!n en riesgo,12/20/2017
4/25/2018 11:21:40,,Water pollution,"Bacalar, Quintana Roo","Pollution of drinking water is affecting several municipalities in Quintana Roo. Reportedly, fertility in men is in danger due to pesticides found in the water. ",10,Longer than one year,Find where the pollution is coming from and invest in cleaning the water. This people have the right to access clean water. ,,https://laverdadnoticias.com/La-fertilidad-del-hombre-en-la-Peninsula-de-Yucatan-en-riesgo-l201712200001.html,La fertilidad del hombre en la PenAnsula de YucatA!n en riesgo,12/20/2017
4/25/2018 11:21:40,,Water pollution,"OthA3n P. Blanco, Quintana Roo, Mexico","Pollution of drinking water is affecting several municipalities in Quintana Roo. Reportedly, fertility in men is in danger due to pesticides found in the water. ",10,Longer than one year,Find where the pollution is coming from and invest in cleaning the water. This people have the right to access clean water. ,,https://laverdadnoticias.com/La-fertilidad-del-hombre-en-la-Peninsula-de-Yucatan-en-riesgo-l201712200001.html,La fertilidad del hombre en la PenAnsula de YucatA!n en riesgo,12/20/2017
